iter	Accuracy	Logloss
295	0.8220464656	0.3882886417
296	0.8221700445	0.3881850572
297	0.8221700445	0.3881015108
298	0.8220464656	0.3879787662
299	0.8220464656	0.3877497721
300	0.8220464656	0.3877146326
301	0.8221700445	0.3875848722
302	0.8221700445	0.3875791676
303	0.8221700445	0.3874824766
304	0.8221700445	0.3874795629
305	0.8224172022	0.3873829043
306	0.8222936233	0.3872852468
307	0.8222936233	0.3871412832
308	0.8222936233	0.3870577289
309	0.822540781	0.3869633972
310	0.8226643599	0.3869253843
311	0.822540781	0.3868518956
312	0.8230350964	0.3866571143
313	0.8230350964	0.3866237832
314	0.8227879387	0.3865111318
315	0.8229115175	0.3865066198
316	0.8229115175	0.3864723692
317	0.8230350964	0.3864185829
318	0.8226643599	0.3863200323
319	0.8226643599	0.3863174584
320	0.8231586752	0.3861712639
321	0.8232822541	0.3861256073
322	0.8235294118	0.3861032892
323	0.8234058329	0.3860753897
324	0.8235294118	0.3860165395
325	0.8235294118	0.3860088794
326	0.8235294118	0.3858482324
327	0.8235294118	0.3857753986
328	0.8237765695	0.3855442881
329	0.8240237271	0.3853727669
330	0.824147306	0.3853106281
331	0.8252595156	0.3850762904
332	0.8253830944	0.3850403669
333	0.8253830944	0.3850051868
334	0.8253830944	0.3849840038
335	0.8253830944	0.3847768344
336	0.8256302521	0.3846586135
337	0.8255066733	0.3845608933
338	0.8258774098	0.3843609381
339	0.8257538309	0.3842390479
340	0.8263717252	0.3839936595
341	0.8263717252	0.3839513209
342	0.8262481463	0.383878916
343	0.8263717252	0.383799316
344	0.826495304	0.3837634046
345	0.826495304	0.383692597
346	0.8268660405	0.3835601845
347	0.8269896194	0.3833937378
348	0.8271131982	0.3832704881
349	0.8278546713	0.3830934447
350	0.8277310924	0.3828926337
351	0.8274839348	0.3827432495
352	0.8278546713	0.3826584719
353	0.8282254078	0.3825230921
354	0.828101829	0.3824219191
355	0.8284725655	0.3823111792
356	0.8285961443	0.3822166061
357	0.8285961443	0.3821175517
358	0.8282254078	0.3820783907
359	0.8282254078	0.3820393176
360	0.8282254078	0.3819073681
361	0.8283489867	0.381850982
362	0.8285961443	0.381828881
363	0.8285961443	0.3817957076
364	0.828843302	0.3817195701
365	0.8289668809	0.3815519129
366	0.8290904597	0.381451048
